=== LEAH Lamp Material Override Log ===
Timestamp: 2025-12-31 02:26:36
Override target: objects starting with 'E14_Lamp_OFF_base_'
Override values: BaseColor=(1.0, 1.0, 1.0, 1.0) Roughness=0.3 Specular/IORLevel=0.8 EmissionStrength=10.0

[CAPTURE] COL_ASM_base_27 | E14_Lamp_OFF_base_27 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_28 | E14_Lamp_OFF_base_28 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_29 | E14_Lamp_OFF_base_29 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_30 | E14_Lamp_OFF_base_30 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_31 | E14_Lamp_OFF_base_31 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_32 | E14_Lamp_OFF_base_32 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_33 | E14_Lamp_OFF_base_33 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_34 | E14_Lamp_OFF_base_34 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_35 | E14_Lamp_OFF_base_35 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_36 | E14_Lamp_OFF_base_36 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_37 | E14_Lamp_OFF_base_37 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0
[CAPTURE] COL_ASM_base_38 | E14_Lamp_OFF_base_38 | mat=MAT_LAMP_OFF | principled=True | base_color=(0.800000011920929, 0.800000011920929, 0.800000011920929, 1.0) | roughness=0.5 | spec=0.5 | emit_str=0.0

Captured objects: 37


[RESTORE] restored_objs=37 restored_sockets=148
=== END ===
